state,state_abbreviation,county,party,candidate,votes,fraction_votes
Alabama,AL,Houston,Republican,Donald Trump,8171,0.40400000000000000
Alabama,AL,Houston,Republican,John Kasich,836,0.041000000000000000
Alabama,AL,Houston,Republican,Marco Rubio,3683,0.182
Alabama,AL,Houston,Republican,Ted Cruz,4558,0.225
Alabama,AL,Jackson,Republican,Ben Carson,1185,0.10800000000000000
Alabama,AL,Jackson,Republican,Donald Trump,5463,0.499
Alabama,AL,Jackson,Republican,John Kasich,310,0.028000000000000000
Alabama,AL,Jackson,Republican,Marco Rubio,1847,0.16900000000000000
Alabama,AL,Jackson,Republican,Ted Cruz,1791,0.16400000000000000
Alabama,AL,Jefferson,Republican,Ben Carson,8368,0.08900000000000000
Alabama,AL,Jefferson,Republican,Donald Trump,32853,0.35
Alabama,AL,Jefferson,Republican,John Kasich,5711,0.061
Alabama,AL,Jefferson,Republican,Marco Rubio,23132,0.247
Alabama,AL,Jefferson,Republican,Ted Cruz,22355,0.23800000000000000
Alabama,AL,Lamar,Republican,Ben Carson,344,0.096
Alabama,AL,Lamar,Republican,Donald Trump,1810,0.504
Alabama,AL,Lamar,Republican,John Kasich,103,0.029000000000000000
Alabama,AL,Lamar,Republican,Marco Rubio,466,0.13
Alabama,AL,Lamar,Republican,Ted Cruz,692,0.193
Alabama,AL,Lauderdale,Republican,Ben Carson,2151,0.121
Alabama,AL,Lauderdale,Republican,Donald Trump,7502,0.42100000000000000
Alabama,AL,Lauderdale,Republican,John Kasich,983,0.055
Alabama,AL,Lauderdale,Republican,Marco Rubio,3320,0.187
Alabama,AL,Lauderdale,Republican,Ted Cruz,3265,0.183
Alabama,AL,Lawrence,Republican,Ben Carson,733,0.107
Alabama,AL,Lawrence,Republican,Donald Trump,3604,0.528
Alabama,AL,Lawrence,Republican,John Kasich,196,0.029000000000000000
Alabama,AL,Lawrence,Republican,Marco Rubio,925,0.135
Alabama,AL,Lawrence,Republican,Ted Cruz,1204,0.17600000000000000
Alabama,AL,Lee,Republican,Ben Carson,2460,0.11700000000000000
Alabama,AL,Lee,Republican,Donald Trump,6934,0.33
Alabama,AL,Lee,Republican,John Kasich,1501,0.071
Alabama,AL,Lee,Republican,Marco Rubio,4734,0.225
Alabama,AL,Lee,Republican,Ted Cruz,4880,0.23200000000000000
Alabama,AL,Limestone,Republican,Ben Carson,2061,0.10800000000000000
Alabama,AL,Limestone,Republican,Donald Trump,8198,0.43
Alabama,AL,Limestone,Republican,John Kasich,746,0.039
Alabama,AL,Limestone,Republican,Marco Rubio,3602,0.18900000000000000
Alabama,AL,Limestone,Republican,Ted Cruz,4082,0.214
Alabama,AL,Lowndes,Republican,Ben Carson,88,0.105
Alabama,AL,Lowndes,Republican,Donald Trump,500,0.595
Alabama,AL,Lowndes,Republican,John Kasich,26,0.031
Alabama,AL,Lowndes,Republican,Marco Rubio,83,0.099
Alabama,AL,Lowndes,Republican,Ted Cruz,137,0.163
Alabama,AL,Macon,Republican,Ben Carson,94,0.127
Alabama,AL,Macon,Republican,Donald Trump,356,0.48
Alabama,AL,Macon,Republican,John Kasich,39,0.053
Alabama,AL,Macon,Republican,Marco Rubio,92,0.124
Alabama,AL,Macon,Republican,Ted Cruz,147,0.198
Alabama,AL,Madison,Republican,Ben Carson,6293,0.096
Alabama,AL,Madison,Republican,Donald Trump,23791,0.36200000000000000
Alabama,AL,Madison,Republican,John Kasich,3919,0.06
Alabama,AL,Madison,Republican,Marco Rubio,17116,0.26
Alabama,AL,Madison,Republican,Ted Cruz,13622,0.207
Alabama,AL,Marengo,Republican,Ben Carson,85,0.079
Alabama,AL,Marengo,Republican,Donald Trump,580,0.539
Alabama,AL,Marengo,Republican,John Kasich,26,0.024
Alabama,AL,Marengo,Republican,Marco Rubio,127,0.11800000000000000
Alabama,AL,Marengo,Republican,Ted Cruz,228,0.212
Alabama,AL,Marion,Republican,Ben Carson,589,0.08900000000000000
Alabama,AL,Marion,Republican,Donald Trump,3503,0.529
Alabama,AL,Marion,Republican,John Kasich,167,0.025
Alabama,AL,Marion,Republican,Marco Rubio,921,0.139
Alabama,AL,Marion,Republican,Ted Cruz,1268,0.192
Alabama,AL,Marshall,Republican,Ben Carson,1813,0.098
Alabama,AL,Marshall,Republican,Donald Trump,9115,0.495
Alabama,AL,Marshall,Republican,John Kasich,595,0.032
Alabama,AL,Marshall,Republican,Marco Rubio,3785,0.20600000000000000
Alabama,AL,Marshall,Republican,Ted Cruz,2784,0.151
Alabama,AL,Mobile,Republican,Ben Carson,4824,0.077
Alabama,AL,Mobile,Republican,Donald Trump,28326,0.452
Alabama,AL,Mobile,Republican,John Kasich,2893,0.046
Alabama,AL,Mobile,Republican,Marco Rubio,11850,0.18900000000000000
Alabama,AL,Mobile,Republican,Ted Cruz,13458,0.215
Alabama,AL,Monroe,Republican,Ben Carson,373,0.099
Alabama,AL,Monroe,Republican,Donald Trump,1966,0.521
Alabama,AL,Monroe,Republican,John Kasich,108,0.029000000000000000
Alabama,AL,Monroe,Republican,Marco Rubio,596,0.158
Alabama,AL,Monroe,Republican,Ted Cruz,658,0.174
Alabama,AL,Montgomery,Republican,Ben Carson,3379,0.127
Alabama,AL,Montgomery,Republican,Donald Trump,10517,0.39400000000000000
Alabama,AL,Montgomery,Republican,John Kasich,1953,0.073
Alabama,AL,Montgomery,Republican,Marco Rubio,5570,0.209
