county,candidate,party,votes,votesm
State House District 10,Donald Trump,Republican,358,0.358
State House District 10,John Kasich,Republican,18,0.018
State House District 10,Marco Rubio,Republican,83,0.083
State House District 10,Ted Cruz,Republican,283,0.283
State House District 11,Ben Carson,Republican,131,0.131
State House District 11,Donald Trump,Republican,323,0.323
State House District 11,John Kasich,Republican,37,0.037
State House District 11,Marco Rubio,Republican,118,0.118
State House District 11,Ted Cruz,Republican,455,0.455
State House District 12,Ben Carson,Republican,144,0.144
State House District 12,Donald Trump,Republican,315,0.315
State House District 12,John Kasich,Republican,44,0.044
State House District 12,Marco Rubio,Republican,142,0.142
State House District 12,Ted Cruz,Republican,410,0.41
State House District 13,Ben Carson,Republican,67,0.067
State House District 13,Donald Trump,Republican,154,0.154
State House District 13,John Kasich,Republican,10,0.01
State House District 13,Marco Rubio,Republican,92,0.092
State House District 13,Ted Cruz,Republican,216,0.216
State House District 14,Ben Carson,Republican,134,0.134
State House District 14,Donald Trump,Republican,327,0.327
State House District 14,John Kasich,Republican,41,0.041
State House District 14,Marco Rubio,Republican,215,0.215
State House District 14,Ted Cruz,Republican,397,0.397
State House District 15,Ben Carson,Republican,31,0.031
State House District 15,Donald Trump,Republican,71,0.071
State House District 15,John Kasich,Republican,7,0.007
State House District 15,Marco Rubio,Republican,34,0.034
